ip,abuseConfidenceScore,levels
208.70.196.78,0,AbuseIPDB
213.42.20.20,0,AbuseIPDB
83.212.5.89,0,AbuseIPDB
4.2.49.2,0,AbuseIPDB
202.96.128.68,0,AbuseIPDB
103.132.244.254,0,AbuseIPDB
5.202.129.29,0,AbuseIPDB
185.136.97.200,0,AbuseIPDB
208.68.162.229,0,AbuseIPDB
128.9.63.136,0,AbuseIPDB
103.132.245.254,0,AbuseIPDB
219.147.52.244,0,AbuseIPDB
205.251.194.4,0,AbuseIPDB
103.28.121.11,0,AbuseIPDB
38.83.102.18,0,AbuseIPDB
190.103.178.245,0,AbuseIPDB
194.149.234.2,0,AbuseIPDB
219.146.28.186,0,AbuseIPDB
216.9.224.216,0,AbuseIPDB
106.11.41.154,0,AbuseIPDB
170.33.24.74,0,AbuseIPDB
200.33.146.204,0,AbuseIPDB
210.2.177.246,0,AbuseIPDB
69.55.2.3,0,AbuseIPDB
89.218.37.140,0,AbuseIPDB
89.185.84.10,0,AbuseIPDB
157.131.0.39,0,AbuseIPDB
165.154.26.172,0,AbuseIPDB
165.154.26.170,0,AbuseIPDB
192.87.106.101,0,AbuseIPDB
130.37.164.20,0,AbuseIPDB
62.133.35.26,0,AbuseIPDB
87.255.194.19,0,AbuseIPDB
66.242.2.2,0,AbuseIPDB
45.76.37.222,0,AbuseIPDB
74.40.74.20,0,AbuseIPDB
202.56.230.5,0,AbuseIPDB
165.173.187.13,0,AbuseIPDB
216.239.34.107,0,AbuseIPDB
205.251.196.171,0,AbuseIPDB
176.65.148.131,25,AbuseIPDB
80.85.152.69,0,AbuseIPDB
163.139.230.165,0,AbuseIPDB
96.7.50.66,0,AbuseIPDB
205.251.198.99,0,AbuseIPDB
195.8.214.2,0,AbuseIPDB
213.239.204.242,0,AbuseIPDB
23.109.249.236,0,AbuseIPDB
170.81.138.7,0,AbuseIPDB
154.201.1.128,0,AbuseIPDB
79.141.49.1,0,AbuseIPDB
110.232.113.10,0,AbuseIPDB
185.126.149.44,0,AbuseIPDB
13.86.105.198,0,AbuseIPDB
80.241.0.81,0,AbuseIPDB
74.123.224.40,0,AbuseIPDB
185.136.99.100,0,AbuseIPDB
91.196.70.5,0,AbuseIPDB
77.81.240.17,0,AbuseIPDB
96.45.80.1,0,AbuseIPDB
47.88.74.34,0,AbuseIPDB
45.70.40.18,0,AbuseIPDB
89.207.216.74,0,AbuseIPDB
167.250.224.20,0,AbuseIPDB
205.251.197.81,0,AbuseIPDB
130.0.233.3,0,AbuseIPDB
147.45.15.34,0,AbuseIPDB
117.45.170.33,0,AbuseIPDB
221.139.108.196,0,AbuseIPDB
201.6.4.17,0,AbuseIPDB
174.136.57.60,0,AbuseIPDB
205.251.193.34,0,AbuseIPDB
205.251.192.170,0,AbuseIPDB
103.189.62.251,0,AbuseIPDB
205.251.198.196,0,AbuseIPDB
202.56.160.130,0,AbuseIPDB
216.239.38.107,0,AbuseIPDB
195.8.214.1,0,AbuseIPDB
205.251.192.80,0,AbuseIPDB
208.80.124.13,0,AbuseIPDB
185.136.98.100,0,AbuseIPDB
194.8.147.139,0,AbuseIPDB
89.37.101.9,0,AbuseIPDB
140.205.122.153,0,AbuseIPDB
106.11.35.30,0,AbuseIPDB
5.183.103.6,0,AbuseIPDB
140.205.122.133,0,AbuseIPDB
47.241.207.14,0,AbuseIPDB
210.245.0.131,0,AbuseIPDB
200.40.30.254,0,AbuseIPDB
128.9.28.251,0,AbuseIPDB
128.9.49.6,0,AbuseIPDB
78.30.254.121,0,AbuseIPDB
130.37.164.22,0,AbuseIPDB
202.79.24.152,0,AbuseIPDB
205.251.195.140,0,AbuseIPDB
23.19.196.53,0,AbuseIPDB
45.41.32.11,0,AbuseIPDB
207.211.41.115,0,AbuseIPDB
77.247.176.115,0,AbuseIPDB
58.22.100.6,0,AbuseIPDB
218.104.128.107,0,AbuseIPDB
